year,ma_rate_cents_kwh,us_rate_cents_kwh,gap_cents,ma_premium_pct,ma_monthly_bill_600kwh,us_monthly_bill_600kwh,extra_cost_monthly
2014,18.8,12.5,6.3,50,113,75,38
2015,19.8,12.7,7.1,56,119,76,43
2016,21.5,12.6,8.9,71,129,76,53
2017,21.8,12.9,8.9,69,131,77,54
2018,24.7,13.0,11.7,90,148,78,70
2019,25.5,13.0,12.5,96,153,78,75
2020,24.5,13.2,11.3,86,147,79,68
2021,24.5,13.7,10.8,79,147,82,65
2022,30.7,15.1,15.6,103,184,91,93
2023,29.2,16.2,13.0,80,175,97,78
2024,35.3,16.8,18.5,110,212,101,111
2025,31.4,18.0,13.4,74,188,108,80
